id,x,y
1,27545.44,12234.4
2,42367.76,8459.12
3,61309.76,6471.44
4,22979.68,11890
5,38093.92,11509.52
6,53431.2,7376.72
7,32324.4,12273.76
8,48124.16,7429.2
9,54379.12,7386.56
10,59118.72,7055.28
