,13:00-13:30,13:30-14:00,14:00-14:30,14:30-15:00,15:00-15:30,15:30-16:00,16:00-16:30,16:30-17:00,17:00-17:30,17:30-18:00,18:00-18:30,18:30-19:00,19:00-19:30,19:30-20:00
HOV 1,104.86279020979022,103.57257105263157,94.2165773480663,88.02001287553648,48.48805657237938,41.51678477306003,46.03491392801252,50.130994177583695,57.97542352941176,65.45984642233857,70.40121401515152,79.0783061674009,97.35268769716087,105.68063503649635
HOV 2,54.77473219978746,54.925988913525494,53.38858126410836,51.23472868217054,36.11490034364262,38.80351300728408,35.32515,36.8907006937562,37.50100201409869,37.79109090909092,40.56484444444445,40.18444514767933,51.80729135538955,55.88647398030943
HOV 3,104.43358604651164,104.33123618090453,104.27743801652892,104.06740566037736,102.02733009708737,101.30336848792885,101.34808005427409,101.99672000000001,102.0260054200542,101.37663869132291,102.24723337856175,102.19596196513471,104.1859411764706,104.57195177664974
HOV 4,73.3786286072773,79.8533606557377,97.14419575856444,85.63184669479605,74.1197617728532,73.40386111111111,71.96050625869263,78.86796842105262,82.81115718157182,84.45059848484848,85.04187031700287,87.51737076923078,96.02676923076925,103.58359139784947
HOV 5,66.70644696969698,87.29764791288565,65.21744572368422,50.18025000000001,47.33423333333334,41.71693749999999,46.91679566563467,52.41521758569299,66.91330757575757,73.63491749174918,57.708903973509926,74.6551960461285,80.89230825688074,79.51464480874317
HOV 6,95.88622033898307,92.75248263254115,78.1819177631579,48.18384679665738,46.101884297520655,42.993166894664846,40.4387510259918,50.71616497829234,74.03229302325583,86.25894245723173,87.28773059360731,88.61723076923076,91.25654868913858,96.7643233944954
HOV 7,93.00015326633167,88.01623170731708,77.17754545454547,63.16076125511597,58.26973545706372,58.28751515151516,50.054696202531645,44.275702034883714,60.426793626707145,76.3576355140187,81.53233796296296,83.77497560975611,88.19669444444446,94.15367573221758
HOV 8,103.76531725888326,103.50602380952382,103.27129213483148,103.96485555555556,102.65640193370166,102.37214814814817,103.16227848101266,103.96778871201158,102.90274193548389,102.57861927330174,103.29944277108433,103.11372897196263,102.89404938271608,103.19190585774058
HOV 9,89.49860552763819,88.16551016949153,81.49609345794394,59.95911930294907,62.622056603773586,67.0947087126138,45.151656338028175,34.08460394537178,48.86705327245053,63.099962616822424,76.54423469387756,85.73537947122863,89.92741197822143,93.96207692307692
HOV 10,92.87050208333335,88.04565054602183,80.40594820143886,61.710793433652526,62.90731782945737,64.99733942558747,49.84959595959596,38.79575259259259,43.63364723467863,61.18775903614458,73.65424407252439,88.74582445141066,92.53320192307692,95.53846153846153
HOV 11,94.12861740890689,91.42338533541344,84.99283176312248,66.65378035470668,59.370656292286874,66.57531258278146,34.50003372434017,26.66685172981878,30.419403973509933,32.4725376344086,75.15246732954546,90.70870894308943,94.38830196078432,96.03712727272728
HOV 12,92.02328453608247,88.71572067901235,82.68622177954848,63.858710632570656,65.15082975871314,57.449374120956406,31.243773162939302,31.18233956386293,24.482959481361426,25.058862776025236,72.39866994382022,89.54292218543047,92.51442574257426,95.58277272727273
HOV 13,95.20929310344829,83.99622044728434,77.18851253481894,55.96419550858652,53.181339860139865,42.83384818941504,26.37695404120444,22.533787781350483,19.62653024911032,25.119389473684212,66.96437222222224,93.55753513513514,96.61627757352942,97.84330077120822
HOV 14,99.34547368421053,86.12971264367818,83.23518591549296,61.364519256308114,56.56114754098361,49.748780952380955,31.52688836477988,24.106758445945946,26.945837209302326,31.59831722054381,70.12347959183673,92.52286120996443,95.71901265822785,96.75668364611259
HOV 15,89.58220194647203,80.81823076923078,70.1355969316597,57.10441199478488,52.52619538670285,51.71383852691219,34.11385555555556,34.31315610510047,33.78678604651164,37.45852994011976,51.55644474034621,76.98910847457627,87.32310745233968,93.79270975609757
HOV 16,91.45521973094172,88.99120731707318,70.56325806451613,67.48549367088609,60.606480686695285,41.881170454545455,25.179918604651164,30.942172043010753,37.33641935483872,48.154452012383906,62.80227134146342,87.54043529411766,93.50873481781377,97.1623161764706
HOV 17,92.8656218097448,88.18132118055556,69.24744582043343,64.4,56.14026111908179,32.76486440677966,29.16970340356564,31.00692924528302,38.39682789317507,43.397282477341385,60.953920060331825,88.2439197761194,94.91589958158997,99.75332705882353
HOV 18,104.40255704697987,91.55028235294118,63.31447359999999,63.30242251461989,48.35586177715092,34.369013114754104,34.56568708609272,38.01015384615385,39.56938775510205,44.080911042944784,64.58336111111112,84.9358275862069,90.4353655172414,97.02842372881356
HOV 19,91.33956468172484,74.3051879936809,56.25344938650307,63.51028779069769,39.60461206896552,30.564620689655175,25.826611390284757,29.263630841121497,32.086972383720926,38.861811145510835,51.98284350547731,79.62118411552348,94.97452631578948,98.11714418604652
HOV 20,90.57732894736841,73.03416377952756,62.54690715372909,65.78250000000001,45.319976710334785,39.494720588235296,34.883964705882356,35.480344827586215,41.15677080291971,42.89776539589443,59.00482291666667,78.53178892733564,92.48819686800896,98.07827272727273
HOV 21,91.41463963963965,82.55078521617853,50.26241111111112,50.780371742112486,39.97141327913278,31.305183976261134,29.504400000000004,30.369951289398283,30.690432284541725,46.76234545454546,53.4753878080415,64.00470895522389,95.69792144373673,97.46176282051285
HOV 22,92.520734375,86.29043227665706,65.4734795640327,56.20712582781458,38.26276329787235,40.804202816901416,38.13742836468885,36.32039917127072,37.47111748251748,37.54028460543338,50.593284,55.743535190615844,94.05511764705884,97.72906410256412
HOV 23,89.0198640167364,85.34446391752577,74.56794052558783,66.49484585987263,60.5509074074074,56.52668481375359,57.13493074792244,58.89190080428954,57.12535349462366,61.511869731800786,63.88682541720154,75.29878,90.381140077821,95.60165625000002
HOV 24,90.202,85.77257268722468,71.48155048409406,68.54803748488513,56.42925515463918,50.635391966759,54.73190740740741,51.21108774193548,55.85769961489089,55.304338541666674,62.61804084158417,69.18435335195531,91.609,95.74181250000001
HOV 25,90.86441942604857,78.75041959064328,72.29751101321585,56.678950991831975,44.946677966101696,47.678163636363635,49.82637672090112,40.764455012853475,41.38491803278689,51.011901140684415,57.071922413793104,53.22048449612404,87.431625,92.70773555555556
HOV 26,91.25214823529411,79.01997268588771,73.63589151599444,67.519809352518,54.95539189189189,51.11299363867685,44.83283984375001,49.90446191646192,42.258459459459466,53.72484425216316,57.47212736443883,55.21074322580645,86.53804026845638,92.85917887931035
