,13:00-13:15,13:15-13:30,13:30-13:45,13:45-14:00,14:00-14:15,14:15-14:30,14:30-14:45,14:45-15:00,15:00-15:15,15:15-15:30,15:30-15:45,15:45-16:00,16:00-16:15,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15,17:15-17:30,17:30-17:45,17:45-18:00,18:00-18:15,18:15-18:30,18:30-18:45,18:45-19:00,19:00-19:15,19:15-19:30,19:30-19:45,19:45-20:00
HOV 1,104.67740425531915,105.04306206896553,102.95375,104.23175,94.94648648648649,93.71178037383179,90.70135371179039,85.42918143459916,64.93466417910447,35.25174774774775,39.37016901408451,43.840103658536584,45.81928571428571,46.28478040540541,52.921810344827584,47.26608554572271,57.453737642585544,58.38868674698796,66.28211267605634,64.6518062283737,71.4967105263158,69.28899236641223,78.69625423728814,79.49190366972478,94.8884064171123,100.89746153846156,105.00801315789472,106.51865573770495
HOV 2,53.9250923076923,55.57017695473251,54.571453125,55.275839207048456,54.70865486725664,52.01375806451613,51.95016629711751,50.520873893805316,38.093180180180184,34.06744988344989,40.61471428571429,36.919248407643316,33.26783518930958,37.28636942675159,36.540949895615874,37.2067962264151,38.945519685039365,35.98798144329897,37.19822857142857,38.31451891891892,41.71340856031129,39.43171209213052,38.84818965517241,41.46548347107438,46.46760169491526,57.227363440860216,57.70161035422343,53.949976744186046
HOV 3,104.28684753363231,104.59166666666667,104.95761512027492,103.73556209150328,104.3459475409836,104.20778666666666,104.11287464387465,104.02658823529411,102.23500000000001,101.8247808219178,101.90497007481297,100.67838860103626,101.2059451697128,101.50185875706214,101.80733074935402,102.18562113402062,101.8791052631579,102.15287373737374,101.52932112676058,101.22088505747126,102.4993743169399,101.99849056603774,102.26423054755043,102.11254929577466,104.01695238095239,104.39917167381975,104.51966666666667,104.631625
HOV 4,76.10554736842106,70.89366666666668,65.92013953488372,92.20652577319586,96.5841476923077,97.77619444444444,92.00864201183433,79.85341018766758,73.83885632183909,74.38113903743316,74.82003989361702,72.0025894736842,72.8169403794038,71.05758,77.3183128342246,80.36944818652849,84.45482051282052,81.32039276485789,81.89565088757396,87.13250000000001,85.90602222222223,84.1104491017964,88.05214583333334,86.94512738853503,93.03179069767441,99.70631428571429,103.2878888888889,103.88898907103825
HOV 5,63.8877272727273,69.52516666666666,81.10138235294119,93.33845161290323,73.255,57.38865909090911,58.318870229007636,41.36901652892562,44.043673076923085,51.008355828220864,36.62213333333334,46.59494148936171,52.845333333333336,40.12162790697675,47.69589380530974,57.234045180722894,75.4788125,58.85165588235294,79.03607284768212,68.26929605263157,59.57511111111111,55.674802768166096,84.64141538461539,63.14625531914894,79.31933333333333,82.43668363636363,66.5574,95.12578313253012
HOV 6,96.37352153110048,95.3869754901961,93.94409629629631,91.59098194945848,89.57596979865772,67.22892580645161,57.551150127226464,36.85661538461538,43.20605882352941,49.48178805970149,43.215997275204366,42.7685,39.573625,41.31579338842975,47.591780898876415,54.036405970149254,65.86809294871794,81.68163363363364,85.38453225806452,87.07295795795797,86.772,87.78344776119404,89.42618397626113,87.70850666666668,88.91141724137933,94.0437950819672,95.40778481012659,98.37989949748744
HOV 7,94.32481578947369,91.790125,88.9054471830986,87.14541379310346,82.45953947368422,72.03098717948718,69.322,56.34444827586208,61.128131443298976,54.94920359281438,57.541818181818186,59.05514438502674,53.72897457627119,46.41129411764706,47.230468664850136,40.89751090342679,47.98014666666667,70.82789136490251,73.5520773993808,79.19837304075236,81.033815625,82.0187012195122,82.38334890965733,85.10844477611941,86.04026524390245,91.04874596774195,93.16034572490707,95.43217224880382
HOV 8,104.06192631578948,103.48906372549021,103.75957142857143,103.2524761904762,103.14331270358308,103.39562658227848,104.22977718832892,103.67367346938775,102.34874545454547,103.00580530973453,102.55870822281169,102.18657255936675,102.46196848137537,103.83743922651934,103.50760382513663,104.4860276923077,103.54723076923078,102.35529261363638,102.746,102.40531832797429,103.23745283018867,103.3564161849711,103.24251572327046,102.98732716049383,102.71157975460125,103.1408755186722,103.25668421052632,103.11062735849059
HOV 9,92.210234375,86.97126213592234,88.9852551724138,87.37309,85.77711145510837,77.16139498432602,71.21397637795276,48.210898630136995,65.3820588235294,59.547524216524224,67.10918324607331,67.0804211886305,48.923268493150694,41.1614,38.840223796034,28.598545751633992,46.795739273927396,50.63995762711865,50.85137647058823,76.88976158940397,72.90972289156626,79.95287288135594,84.17007987220447,87.22004242424242,88.32630529595016,92.16199999999999,92.62242635658914,95.5119865470852
HOV 10,96.82925806451614,89.60415209125476,88.80278963414635,87.2522268370607,84.5691768292683,76.68513351498639,67.37918028169014,56.35899202127659,67.20225970873787,58.01915193370167,67.40098955613577,62.59368929503917,55.44717166212535,43.54803067484663,44.86517168674699,32.92097959183674,45.31619760479042,41.956119402985074,50.23025,74.81060810810811,66.42241833810888,80.5126875,88.12471698113207,89.36305,90.04901941747572,96.17117535545025,94.88621487603307,96.2795117370892
HOV 11,96.51063436123347,92.10345692883895,90.99174237288136,91.79140462427746,83.44670588235294,86.42279792746115,66.87310192837467,66.43860810810811,52.20297894736842,66.95761281337049,74.39871584699455,59.21447557840617,39.66346461538461,29.79943137254902,22.221673003802284,30.06534593023256,34.054901408450704,27.1929,31.406499999999998,33.712116279069775,64.92382997118156,85.09458823529413,91.81222950819672,89.6229870967742,92.73711418685122,96.54754751131223,94.26842727272727,98.39539393939395
HOV 12,94.76953153153153,89.70515969581749,89.58317218543048,87.9585809248555,80.40383513513514,84.89113838120106,61.480065395095366,66.18042021276595,61.83063917525773,68.74924860335196,68.36077358490567,45.543111764705884,37.81563924050633,24.544709677419355,23.28271532846715,37.06412500000001,24.146100346020763,24.77976524390244,26.272226114649683,23.86825,61.502452247191016,83.29488764044946,90.40626644736844,88.66806666666668,90.98981362007169,94.39657964601771,93.74093953488374,98.07330188679246
HOV 13,97.06362037037037,93.59423387096776,88.46080487804878,80.21646902654868,78.23433983286908,76.14268523676881,52.429125,59.308426735218504,55.48387165775402,50.65598240469209,47.243927027027034,38.14497126436782,29.444881028938912,23.395312500000003,18.952575,25.46577485380117,18.05236363636364,20.915411003236247,26.188070588235295,24.001384615384612,50.88919672131148,83.58446892655368,93.22685365853658,93.91166044776121,95.42510394265234,97.87038113207548,96.58114414414415,99.52113772455093
HOV 14,101.75200000000002,97.02193103448278,93.83667680608366,80.27152890173411,84.29592000000001,82.20391666666667,58.04460053619303,64.62328157894737,61.42404210526317,51.31143181818182,55.49532978723405,43.730111420612815,31.295407051282055,31.749796296296292,22.79411567164179,25.192524691358027,24.1155,29.407,33.50732,29.45680769230769,56.12945205479452,86.03569158878504,93.45084,91.63368292682927,94.94614336917563,96.50598540145985,95.54413953488373,98.40666455696204
HOV 15,90.80919354838711,88.5678888888889,85.2878923076923,77.38002958579882,78.7409575596817,60.5937705882353,53.57704060913706,60.83037533512064,52.54340389972145,52.50985185185185,55.84649322493225,47.18876557863502,35.36015460526316,32.95166257668712,34.37609677419355,34.255258160237396,29.61976315789474,37.50166862170088,36.96129299363057,37.899581920903955,49.0707358974359,54.24183656509696,73.69563157894737,80.48986713286713,85.65993661971831,88.93519112627988,92.33759322033899,95.76631609195401
HOV 16,95.10670370370372,88.76988715953308,88.37217910447761,89.53336274509805,89.19499076923078,51.98867791411043,68.75612181303117,66.23261173184358,60.78847727272727,60.42186167146975,50.36349196141479,33.23198360655738,28.55812037037037,21.242733812949645,28.189804597701148,34.10330693069307,30.458814814814815,43.560843575419,42.64411945392492,52.728184135977344,59.17808,66.94758823529412,84.48582129277565,90.79291902834008,92.02444755244757,95.54962980769233,96.45306796116505,97.8856089108911
HOV 17,97.03585635359116,89.84637200000002,87.89586296296297,88.43319607843137,87.9321625,50.90661963190184,64.21193732193733,64.58594366197184,56.2176646884273,56.06780277777779,35.697491467576796,29.871734006734005,29.60213580246914,28.691518771331054,30.6316705882353,31.437969594594595,33.395583081571,43.22310204081633,35.05946557377049,50.5206274509804,55.95168786127167,66.41376971608834,85.04932950191571,91.27587636363636,93.46699649122807,97.05547150259068,99.92759512195123,99.59094090909092
HOV 18,106.187375,103.15386311787073,96.59004727272726,87.21923437500001,70.67420198675497,56.43324148606811,67.74228445747801,58.88844897959184,48.79578529411765,47.95051219512195,36.53181132075472,32.01363698630137,35.098000000000006,34.008111864406786,45.65652890173411,28.918587628865982,33.748259587020655,45.25631123919308,31.82259090909091,55.05638372093023,60.95215204678363,68.64177124183007,82.97767938931298,86.71103460207613,87.76504417670684,94.01015053763442,96.93104494382023,97.1021829787234
HOV 19,93.25582062780269,89.7209090909091,79.02555161290323,69.77480804953562,63.93984818481848,49.58015759312321,68.85983379501386,57.60451987767585,42.929300578034685,36.31792000000001,31.540666666666667,29.518857142857147,28.51808945686901,22.86029929577465,32.14872916666667,26.095679738562094,30.200994219653175,33.995008771929825,26.278117449664432,49.63750287356322,46.33413109756098,57.94032797427653,70.0479540229885,88.14887372013654,93.14015637860082,97.27221649484538,99.21836842105263,97.24534166666668
HOV 20,91.7056,89.65583266932272,78.64770297029703,67.9109638554217,68.0850541401274,57.477,68.96400000000001,62.14650000000001,49.19015317919075,41.39305278592376,41.163824074074086,37.61697916666667,40.20975000000001,29.168487804878048,34.77745921450151,36.17277083333333,41.6256449704142,40.70005763688761,31.701196319018408,53.15080337078651,52.43765306122449,65.85144680851064,69.34640647482016,87.04357666666668,89.58614522821577,95.88331553398058,99.06719230769232,97.3495951417004
HOV 21,93.16784112149533,89.7834,84.55447887323943,80.58583701657459,58.74594674556214,42.756036649214664,59.59500544959128,41.84398895027624,40.60256417112299,39.322923076923075,35.89033707865169,26.172119496855352,29.933400000000002,29.087484507042255,30.310392156862747,30.432304985337247,32.64275,28.57681196581197,39.276835078534035,54.132100515463925,50.21384210526317,56.97365860215054,50.98162962962964,80.86335273972604,95.44801724137932,95.94050627615064,96.72791780821919,98.10719277108434
HOV 22,94.22834615384615,91.04080416666669,89.27426253687315,83.44108450704226,70.2519406779661,61.02196578947368,64.16077634961441,47.75365573770492,39.48525000000001,36.987125000000006,42.14557262569833,39.439968750000006,39.38874147727273,36.83812979351032,37.54354200542006,35.049019718309864,36.590792,38.44206470588236,36.55524528301887,38.4493631840796,45.70134673366834,56.124508522727275,44.01368461538461,71.41011643835617,91.92106172839506,96.28076394849788,96.76456194690266,98.62979752066117
HOV 23,88.8814705882353,89.15710416666667,88.22559701492538,82.53870930232559,72.88917222222221,76.2328347107438,67.90262711864406,64.93190591397851,63.280355329949245,57.580182320441985,58.49666666666667,54.56796000000001,54.28644,59.814962365591406,61.00035789473685,56.70279234972677,58.42622916666667,55.73775277777778,61.00982383419691,62.00000503778337,58.889645161290325,69.24284574468086,72.20435051546391,79.14698076923077,87.73393893129771,93.13338888888889,94.49329787234043,96.82449295774649
